x,y,dir,outcome,reason
76,27,s,,
77,28,s,,
76,24,s,,
78,29,s,,
80,44,s,,
84,64,s,,
83,46,s,,
81,36,s,,
76,44,s,,
79,50,s,,
82,26,s,,
85,19,s,lost,penalty
98,18,s,,
79,16,s,,
81,24,s,,
90,17,s,,
97,16,s,,
96,56,s,,
102,67,s,,
98,53,s,,
98,33,s,,
115,1,s,lost,turnover
75,4,s,,
74,14,s,,
59,53,s,,
91,15,s,,
89,27,s,,
92,29,s,won,penalty
40,52,s,,
84,51,s,,
94,68,s,,
95,54,s,,
93,31,s,,
92,23,s,lost,penalty
78,38,s,,
78,27,s,,
81,36,s,,
73,34,s,,
82,62,s,,
83,44,s,,
91,17,s,,
92,33,s,,
82,68,s,,
79,49,s,,
81,41,s,,
98,53,s,,
103,54,s,,
97,30,s,,
97,26,s,,
97,32,s,,
97,43,s,,
98,28,s,won,penalty
38,63,s,,
62,26,s,,
96,19,s,lost,penalty
94,15,d,,
68,11,d,,
69,17,d,,
74,54,d,,
96,18,d,,
41,41,d,,
27,32,d,,
27,33,d,,
27,17,d,,
99,14,d,,
99,3,d,,
100,14,d,,
49,61,d,lost,turnover
71,2,d,,
69,64,d,,
63,61,d,,
56,47,d,,
52,36,d,,
62,39,d,,
30,12,d,,
102,15,d,,
59,43,d,,
55,36,d,,
51,59,d,,
50,43,d,,
41,17,d,lost,turnover
