team,x,y,dir,period,outcome,reason
italy,68,0,s,1,won,
italy,96,0,s,1,lost,penalty
england,60,70,d,1,won,
england,32,70,d,1,won,
england,67,70,d,1,won,
italy,69,0,s,1,won,
italy,88,0,s,1,lost,turnover
italy,63,70,s,1,won,
england,33,70,d,1,won,
england,71,0,d,1,won,
england,46,70,d,1,won,
england,111,0,d,1,won,
italy,72,70,s,1,won,
england,37,0,d,1,won,
england,25,0,d,1,won,
italy,58,0,s,1,won,
england,26,0,d,1,won,
italy,50,0,s,1,won,
england,97,70,s,2,won,
england,78,70,s,2,won,
italy,29,0,d,2,won,
italy,25,0,d,2,won,
italy,43,0,d,2,won,
italy,28,0,d,2,won,
england,25,0,s,2,won,
england,79,0,s,2,lost,turnover
england,91,70,s,2,won,
england,59,70,s,2,lost,turnover
italy,51,0,d,2,won,
italy,26,70,d,2,lost,turnover
italy,25,70,d,2,won,
england,58,70,s,2,won,
italy,97,70,d,2,won,
italy,45,70,d,2,won,
italy,26,0,d,2,lost,turnover
italy,26,70,d,2,won,
