x,y,dir,outcome,reason
30,3,d,,
30,10,d,,
29,16,d,,
28,18,d,,
30,13,d,,
29,26,d,,
30,37,d,,
29,43,d,,
79,50,d,,
80,35,d,,
78,15,d,,
96,56,d,,
96,50,d,,
109,14,d,,
68,17,d,,
65,7,d,,
58,46,d,won,penalty
68,15,d,,
68,30,d,,
68,33,d,,
81,56,d,,
70,52,d,,
28,51,d,,
26,47,d,,
26,43,d,,
29,23,d,,
29,35,d,,
27,37,d,,
21,32,d,won,penalty
71,31,d,,
56,66,d,,
62,50,d,,
88,67,d,,
87,64,d,,
89,55,d,,
87,18,d,,
89,15,d,,
95,8,d,,
96,14,d,,
71,52,d,,
23,5,d,lost,penalty
73,18,d,,
72,23,d,,
68,60,d,,
65,47,d,,
67,27,d,,
62,13,d,,
63,20,d,,
63,53,d,,
45,57,d,,
47,23,d,,
45,13,d,,
42,34,d,,
42,43,d,,
40,53,d,,
30,60,d,,
29,54,d,,
27,34,d,,
23,46,d,won,penalty
63,56,s,,
62,46,s,,
84,13,s,,
86,28,s,,
88,46,s,,
93,56,s,,
93,53,s,,
82,33,s,,
81,35,s,,
82,31,s,,
87,4,s,,
85,16,s,,
89,17,s,,
93,53,s,,
95,53,s,,
39,16,s,,
26,30,s,,
78,44,s,,
80,14,s,,
79,15,s,,
75,35,s,,
79,34,s,,
85,6,s,,
95,16,s,,
94,33,s,,
94,38,s,,
90,54,s,lost,turnover
77,50,s,,
72,39,s,,
89,4,s,,
66,33,s,,
64,31,s,,
78,16,s,,
77,21,s,,
75,47,s,,
79,53,s,,
78,45,s,,
87,56,s,,
88,46,s,,
89,37,s,,
95,19,s,,
99,14,s,,
97,21,s,,
96,37,s,,
97,47,s,,
96,63,s,,
97,54,s,,
102,42,s,,
55,37,s,,
68,32,s,,
67,39,s,,
68,48,s,,
65,56,s,,
72,33,s,lost,penalty
45,59,s,,
63,31,s,,
