team,x,y,dir,period,outcome,reason
wales,115,0,s,1,won,
wales,114,0,s,1,lost,turnover
england,76,70,d,1,won,penalty
england,50,70,d,1,won,
england,29,70,d,1,won,
wales,45,0,s,1,won,
wales,40,0,s,1,won,
wales,95,70,s,1,lost,turnover
england,26,0,d,1,won,
wales,43,0,s,1,won,
wales,98,70,d,2,lost,turnover
wales,66,0,d,2,won,
wales,38,70,d,2,won,
wales,55,0,d,2,won,
england,88,0,s,2,lost,turnover
wales,58,0,d,2,won,
wales,115,70,d,2,won,
wales,26,0,d,2,won,
wales,25.5,0,d,2,won,
england,82,0,s,2,won,penalty
england,73,70,s,2,won,
wales,44,70,d,2,lost,penalty
wales,27,70,d,2,won,
wales,61,70,d,2,won,
