x,y,dir
43,2,d
52,40,d
53,50,d
91,53,d
89,36,d
91,50,d
94,46,d
92,45,d
75,5,d
79,24,d
92,47,d
89,51,d
68,69,d
37,4,d
38,51,d
39,52,d
37,63,d
26,51,d
23,37,d
24,49,d
26,36,d
77,53,d
68,64,d
77,48,d
58,4,d
29,11,d
91,56,d
67,56,d
68,44,d
62,37,d
64,18,d
71,51,d
67,34,d
65,18,d
27,52,d
29,44,d
24,34,d
23,37,d
35,12,s
32,32,s
47,53,s
85,36,s
88,54,s
86,35,s
93,13,s
89,32,s
110,50,s
114,46,s
117,36,s
114,42,s
114,36,s
113,50,s
111,37,s
106,28,s
98,52,s
40,6,s
39,17,s
53,18,s
113,15,s
112,31,s
115,36,s
114,47,s
116,35,s
115,46,s
119,45,s
46,30,s
44,19,s
45,64,s
79,55,s
78,48,s
82,55,s
89,16,s
84,42,s
85,19,s
83,43,s
105,69,s
105,66,s
103,40,s
100,35,s
104,32,s
99,69,s
100,57,s
118,5,s
58,7,s
79,15,s
85,42,s
84,43,s
74,45,s
119,58,s
53,13,s
