team,x,y,dir,period,outcome,reason
ireland,55,0,d,1,won,
england,53,70,s,1,won,penalty
england,85,0,s,1,won,penalty
ireland,67,70,d,1,won,
ireland,69,0,d,1,won,
england,115,0,s,1,won,
england,29,70,s,1,won,
ireland,45,70,d,1,lost,penalty
england,85,70,s,1,won,penalty
ireland,65,70,d,1,won,
ireland,35,70,d,1,won,penalty
england,60,0,d,2,won,
england,85,0,d,2,won,
ireland,98,0,s,2,won,penalty
england,87,0,d,2,won,
ireland,95,0,s,2,lost,penalty
england,65,0,d,2,won,
england,74,0,d,2,won,
ireland,115,0,s,2,won,
england,67,0,d,2,won,
england,42,70,d,2,lost,turnover
ireland,105,70,s,2,won,
england,27,0,d,2,lost,penalty
