x,y,dir,outcome,reason
44,56,s,,
68,25,s,,
67,32,s,,
61,20,s,,
78,68,s,lost,penalty
60,52,s,,
70,64,s,,
75,55,s,,
71,36,s,,
73,54,s,,
77,66,s,,
83,68,s,,
95,14,s,lost,penalty
85,52,s,,
86,51,s,lost,turnover
71,54,s,,
76,2,s,,
79,9,s,,
78,32,s,won,penalty
40,54,s,,
81,34,s,,
79,15,s,,
77,22,s,,
77,36,s,,
79,25,s,,
80,8,s,,
76,30,s,,
100,35,s,,
97,43,s,lost,turnover
44,60,s,,
81,39,s,,
84,32,s,,
95,13,s,,
77,42,s,won,penalty
40,63,s,,
60,54,s,,
52,67,s,,
56,54,s,,
76,12,s,,
75,13,s,,
79,44,s,,
79,64,s,lost,turnover
58,6,s,,
59,17,s,,
39,55,d,,
38,37,d,,
28,68,d,,
26,65,d,,
25,60,d,,
25,53,d,,
26,56,d,,
25,54,d,,
56,36,d,,
56,32,d,,
47,9,d,,
46,18,d,,
47,42,d,,
74,1,d,,
72,16,d,,
28,28,d,,
107,7,d,,
49,37,d,,
41,40,d,,
40,32,d,,
37,41,d,,
35,66,d,,
40,64,d,,
32,63,d,,
38,30,d,,
37,15,d,lost,penalty
85,3,d,,
83,6,d,,
25,5,d,,
25,10,d,,
70,46,d,,
79,39,d,,
77,56,d,,
76,51,d,,
73,50,d,,
67,4,d,,
47,14,d,,
44,17,d,,
43,49,d,,
38,32,d,,
37,32,d,,
44,17,d,,
45,44,d,,
43,18,d,,
62,64,d,,
63,18,d,,
60,37,d,,
57,56,d,,
