team,x,y,dir,period,outcome,reason
england,65,70,s,1,won,
france,82,0,d,1,won,
france,61,70,d,1,won,
france,55,0,d,1,lost,knock-on
france,44,70,d,1,won,
england,79,70,s,1,won,
france,47,70,d,1,won,
england,45,70,s,1,won,
france,52,70,d,1,won,
england,27,70,d,2,won,
england,46,0,d,2,won,
england,90,0,d,2,won,
england,50,0,d,2,won,
france,38,70,s,2,won,
france,71,0,s,2,won,
england,84,0,d,2,won,
france,90,0,s,2,won,
england,29,0,d,2,won,
england,25,0,d,2,won,
england,78,0,d,2,won,
france,40,0,s,2,won,
